event_name,disaster_type,begin_date,end_date,cost_cpi_musd,cost_nominal_musd,deaths,disaster_group,south_florida_relevance
South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,2657.6,1998.2,25,Flood,south_florida_affected
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,1383.5,1040.0,10,Severe Storm,south_florida_affected
South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,3160.8,2394.5,6,Severe Storm,south_florida_affected
Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,13100.0,10000.0,49,Hurricane,south_florida_affected
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,3137.5,2395.0,21,Wildfire,south_florida_affected
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,2347.8,1806.0,6,Severe Storm,south_florida_affected
Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,1300.0,1000.0,0,Freeze,south_florida_affected
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,3476.6,2695.0,0,Severe Storm,south_florida_affected
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,1259.2,976.0,1,Severe Storm,south_florida_affected
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,1152.0,893.0,0,Severe Storm,south_florida_affected
Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,160000.0,125000.0,89,Hurricane,south_florida_affected
Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,64000.0,50000.0,97,Hurricane,south_florida_affected
Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,115200.0,90000.0,2981,Hurricane,south_florida_affected
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,1844.1,1452.0,0,Severe Storm,south_florida_affected
Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,30000.0,24000.0,53,Hurricane,south_florida_affected
Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,31218.8,24975.0,49,Hurricane,south_florida_affected
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,1862.4,1514.0,0,Severe Storm,south_florida_affected
Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,1980.3,1610.0,10,Hurricane,south_florida_affected
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,6150.0,5000.0,5,Hurricane,south_florida_affected
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,1401.8,1149.0,10,Severe Storm,south_florida_affected
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,4236.2,3444.0,35,Severe Storm,south_florida_affected
Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,1300.8,1075.0,0,Hurricane,south_florida_affected
Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,5756.1,4757.0,16,Hurricane,south_florida_affected
Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,28090.3,23215.0,42,Hurricane,south_florida_affected
Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,8801.5,7274.0,5,Hurricane,south_florida_affected
Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,3469.3,2867.0,5,Hurricane,south_florida_affected
