median_household_income,population,state,county,tract,county_name,GEOID
30657,4936,12,086,001006,Miami-Dade,12086001006
46413,3154,12,086,001007,Miami-Dade,12086001007
47917,3290,12,086,001008,Miami-Dade,12086001008
60679,5177,12,086,001101,Miami-Dade,12086001101
90000,5839,12,086,001102,Miami-Dade,12086001102
56625,4517,12,086,001103,Miami-Dade,12086001103
151708,4935,12,086,001104,Miami-Dade,12086001104
64155,5915,12,086,001204,Miami-Dade,12086001204
106919,2438,12,086,001205,Miami-Dade,12086001205
104958,4028,12,086,001206,Miami-Dade,12086001206
46630,2168,12,086,001207,Miami-Dade,12086001207
72547,2824,12,086,001208,Miami-Dade,12086001208
43701,3448,12,086,001209,Miami-Dade,12086001209
54716,4753,12,086,001301,Miami-Dade,12086001301
72127,6024,12,086,001302,Miami-Dade,12086001302
25102,6133,12,086,001401,Miami-Dade,12086001401
31745,5175,12,086,001402,Miami-Dade,12086001402
40854,2846,12,086,001501,Miami-Dade,12086001501
30917,4418,12,086,001502,Miami-Dade,12086001502
55491,2918,12,086,001603,Miami-Dade,12086001603
29934,3833,12,086,001605,Miami-Dade,12086001605
42222,4407,12,086,001606,Miami-Dade,12086001606
79479,3003,12,086,001607,Miami-Dade,12086001607
43795,2968,12,086,001608,Miami-Dade,12086001608
37681,4719,12,086,001701,Miami-Dade,12086001701
40681,3648,12,086,001702,Miami-Dade,12086001702
39696,2179,12,086,001704,Miami-Dade,12086001704
33947,1833,12,086,001705,Miami-Dade,12086001705
45250,5374,12,086,001801,Miami-Dade,12086001801
37790,4457,12,086,001802,Miami-Dade,12086001802
19570,3408,12,086,001803,Miami-Dade,12086001803
23576,4448,12,086,001901,Miami-Dade,12086001901
34432,3624,12,086,001903,Miami-Dade,12086001903
28942,4071,12,086,001904,Miami-Dade,12086001904
23329,3887,12,086,002001,Miami-Dade,12086002001
22969,3136,12,086,002003,Miami-Dade,12086002003
27480,3428,12,086,002004,Miami-Dade,12086002004
87461,3104,12,086,002100,Miami-Dade,12086002100
58542,2995,12,086,002201,Miami-Dade,12086002201
47222,5332,12,086,002202,Miami-Dade,12086002202
44343,5881,12,086,002300,Miami-Dade,12086002300
39047,6092,12,086,002402,Miami-Dade,12086002402
46012,4395,12,086,002403,Miami-Dade,12086002403
22877,6055,12,086,002404,Miami-Dade,12086002404
34270,6353,12,086,002501,Miami-Dade,12086002501
39444,3396,12,086,002502,Miami-Dade,12086002502
70764,6782,12,086,002600,Miami-Dade,12086002600
64336,5228,12,086,002702,Miami-Dade,12086002702
68848,4638,12,086,002705,Miami-Dade,12086002705
82467,2100,12,086,002707,Miami-Dade,12086002707
70443,2636,12,086,002708,Miami-Dade,12086002708
120774,4070,12,086,002709,Miami-Dade,12086002709
113082,1826,12,086,002710,Miami-Dade,12086002710
29766,1071,12,086,002800,Miami-Dade,12086002800
37054,5672,12,086,002900,Miami-Dade,12086002900
20515,2944,12,086,003001,Miami-Dade,12086003001
25055,5639,12,086,003004,Miami-Dade,12086003004
33856,1379,12,086,003005,Miami-Dade,12086003005
30592,4405,12,086,003006,Miami-Dade,12086003006
31311,5896,12,086,003100,Miami-Dade,12086003100
33450,3349,12,086,003400,Miami-Dade,12086003400
41056,1676,12,086,003603,Miami-Dade,12086003603
60281,2847,12,086,003604,Miami-Dade,12086003604
27610,2773,12,086,003605,Miami-Dade,12086003605
17205,2012,12,086,003606,Miami-Dade,12086003606
27565,1942,12,086,003607,Miami-Dade,12086003607
119111,3067,12,086,003703,Miami-Dade,12086003703
71250,1475,12,086,003704,Miami-Dade,12086003704
94600,1746,12,086,003705,Miami-Dade,12086003705
57885,1491,12,086,003706,Miami-Dade,12086003706
112000,1694,12,086,003707,Miami-Dade,12086003707
96481,1094,12,086,003708,Miami-Dade,12086003708
57007,1402,12,086,003709,Miami-Dade,12086003709
100360,6857,12,086,003710,Miami-Dade,12086003710
73200,5897,12,086,003801,Miami-Dade,12086003801
86172,3035,12,086,003803,Miami-Dade,12086003803
73160,5625,12,086,003804,Miami-Dade,12086003804
210469,2704,12,086,003906,Miami-Dade,12086003906
42667,1508,12,086,003909,Miami-Dade,12086003909
46458,4571,12,086,003911,Miami-Dade,12086003911
51085,4131,12,086,003912,Miami-Dade,12086003912
47222,3253,12,086,003913,Miami-Dade,12086003913
52083,3664,12,086,003914,Miami-Dade,12086003914
64063,5157,12,086,003915,Miami-Dade,12086003915
65713,4176,12,086,003916,Miami-Dade,12086003916
71379,5246,12,086,003917,Miami-Dade,12086003917
83375,2778,12,086,003918,Miami-Dade,12086003918
111583,2536,12,086,003919,Miami-Dade,12086003919
105174,3111,12,086,003921,Miami-Dade,12086003921
95278,2355,12,086,003922,Miami-Dade,12086003922
124504,4553,12,086,004000,Miami-Dade,12086004000
181875,2473,12,086,004102,Miami-Dade,12086004102
42238,2196,12,086,004103,Miami-Dade,12086004103
68125,2590,12,086,004105,Miami-Dade,12086004105
160664,2685,12,086,004106,Miami-Dade,12086004106
45182,2284,12,086,004204,Miami-Dade,12086004204
52104,2012,12,086,004205,Miami-Dade,12086004205
67593,1909,12,086,004206,Miami-Dade,12086004206
56393,2141,12,086,004207,Miami-Dade,12086004207
51917,1071,12,086,004208,Miami-Dade,12086004208
78526,2287,12,086,004301,Miami-Dade,12086004301
54022,2541,12,086,004303,Miami-Dade,12086004303
69659,2069,12,086,004304,Miami-Dade,12086004304
49665,2977,12,086,004403,Miami-Dade,12086004403
26224,2127,12,086,004404,Miami-Dade,12086004404
47450,3427,12,086,004405,Miami-Dade,12086004405
68636,2417,12,086,004406,Miami-Dade,12086004406
69983,4156,12,086,004500,Miami-Dade,12086004500
239853,4698,12,086,004602,Miami-Dade,12086004602
168646,3674,12,086,004605,Miami-Dade,12086004605
166250,4336,12,086,004607,Miami-Dade,12086004607
101563,1931,12,086,004608,Miami-Dade,12086004608
88324,4933,12,086,004701,Miami-Dade,12086004701
85703,5275,12,086,004703,Miami-Dade,12086004703
75455,2419,12,086,004704,Miami-Dade,12086004704
101106,3521,12,086,004705,Miami-Dade,12086004705
51385,3346,12,086,004901,Miami-Dade,12086004901
43428,3158,12,086,004903,Miami-Dade,12086004903
62551,2302,12,086,004904,Miami-Dade,12086004904
55142,4619,12,086,005002,Miami-Dade,12086005002
60975,3737,12,086,005003,Miami-Dade,12086005003
44643,3908,12,086,005004,Miami-Dade,12086005004
33324,5055,12,086,005102,Miami-Dade,12086005102
45023,2574,12,086,005103,Miami-Dade,12086005103
31440,4386,12,086,005104,Miami-Dade,12086005104
36535,5426,12,086,005201,Miami-Dade,12086005201
38322,6476,12,086,005202,Miami-Dade,12086005202
41177,3360,12,086,005303,Miami-Dade,12086005303
30114,4336,12,086,005304,Miami-Dade,12086005304
30667,3898,12,086,005305,Miami-Dade,12086005305
24507,4745,12,086,005306,Miami-Dade,12086005306
52639,1699,12,086,005403,Miami-Dade,12086005403
47536,3940,12,086,005405,Miami-Dade,12086005405
-666666666,3392,12,086,005406,Miami-Dade,12086005406
40328,2559,12,086,005407,Miami-Dade,12086005407
22891,3768,12,086,005409,Miami-Dade,12086005409
26328,2929,12,086,005410,Miami-Dade,12086005410
50869,3658,12,086,005503,Miami-Dade,12086005503
59701,2400,12,086,005504,Miami-Dade,12086005504
37317,2322,12,086,005505,Miami-Dade,12086005505
39821,3358,12,086,005506,Miami-Dade,12086005506
56632,4590,12,086,005600,Miami-Dade,12086005600
55433,6546,12,086,005701,Miami-Dade,12086005701
38457,2970,12,086,005705,Miami-Dade,12086005705
60543,3785,12,086,005706,Miami-Dade,12086005706
37378,1562,12,086,005707,Miami-Dade,12086005707
37176,6103,12,086,005708,Miami-Dade,12086005708
57390,6577,12,086,005803,Miami-Dade,12086005803
53943,3916,12,086,005804,Miami-Dade,12086005804
66531,2426,12,086,005805,Miami-Dade,12086005805
72738,4558,12,086,005806,Miami-Dade,12086005806
75399,5140,12,086,005901,Miami-Dade,12086005901
47404,3324,12,086,005902,Miami-Dade,12086005902
52685,5909,12,086,005903,Miami-Dade,12086005903
59850,5618,12,086,005904,Miami-Dade,12086005904
74613,6437,12,086,006002,Miami-Dade,12086006002
139563,2894,12,086,006003,Miami-Dade,12086006003
128636,2379,12,086,006004,Miami-Dade,12086006004
195566,2014,12,086,006103,Miami-Dade,12086006103
150875,3889,12,086,006104,Miami-Dade,12086006104
134205,2202,12,086,006105,Miami-Dade,12086006105
140875,2460,12,086,006106,Miami-Dade,12086006106
50417,2914,12,086,006201,Miami-Dade,12086006201
88529,2617,12,086,006203,Miami-Dade,12086006203
66394,3648,12,086,006205,Miami-Dade,12086006205
108106,3896,12,086,006206,Miami-Dade,12086006206
70571,5606,12,086,006302,Miami-Dade,12086006302
33644,3421,12,086,006303,Miami-Dade,12086006303
44286,2906,12,086,006304,Miami-Dade,12086006304
40477,3638,12,086,006401,Miami-Dade,12086006401
51739,3952,12,086,006402,Miami-Dade,12086006402
34079,3228,12,086,006403,Miami-Dade,12086006403
68632,3973,12,086,006501,Miami-Dade,12086006501
85870,2147,12,086,006503,Miami-Dade,12086006503
89922,2003,12,086,006504,Miami-Dade,12086006504
33477,2605,12,086,006603,Miami-Dade,12086006603
57816,1989,12,086,006604,Miami-Dade,12086006604
112039,1639,12,086,006605,Miami-Dade,12086006605
-666666666,1289,12,086,006606,Miami-Dade,12086006606
78113,3871,12,086,006607,Miami-Dade,12086006607
99191,3786,12,086,006608,Miami-Dade,12086006608
103889,4035,12,086,006705,Miami-Dade,12086006705
76414,3055,12,086,006706,Miami-Dade,12086006706
142014,3962,12,086,006707,Miami-Dade,12086006707
159219,1569,12,086,006709,Miami-Dade,12086006709
148068,2157,12,086,006713,Miami-Dade,12086006713
127298,2051,12,086,006714,Miami-Dade,12086006714
98740,3904,12,086,006715,Miami-Dade,12086006715
-666666666,737,12,086,006716,Miami-Dade,12086006716
173112,2187,12,086,006717,Miami-Dade,12086006717
200292,2341,12,086,006718,Miami-Dade,12086006718
102039,2028,12,086,006719,Miami-Dade,12086006719
136406,2368,12,086,006720,Miami-Dade,12086006720
114595,2657,12,086,006721,Miami-Dade,12086006721
93387,1777,12,086,006722,Miami-Dade,12086006722
139659,2893,12,086,006801,Miami-Dade,12086006801
181728,3661,12,086,006802,Miami-Dade,12086006802
78039,3201,12,086,006901,Miami-Dade,12086006901
58500,2742,12,086,006902,Miami-Dade,12086006902
57829,4551,12,086,007003,Miami-Dade,12086007003
68516,4852,12,086,007004,Miami-Dade,12086007004
43512,1804,12,086,007005,Miami-Dade,12086007005
53333,3298,12,086,007006,Miami-Dade,12086007006
60291,2266,12,086,007007,Miami-Dade,12086007007
56600,2771,12,086,007101,Miami-Dade,12086007101
108750,2079,12,086,007103,Miami-Dade,12086007103
158750,3163,12,086,007104,Miami-Dade,12086007104
57143,2612,12,086,007200,Miami-Dade,12086007200
250001,4338,12,086,007300,Miami-Dade,12086007300
229375,1334,12,086,007401,Miami-Dade,12086007401
126518,2740,12,086,007402,Miami-Dade,12086007402
124773,3118,12,086,007403,Miami-Dade,12086007403
220804,2436,12,086,007501,Miami-Dade,12086007501
72000,766,12,086,007503,Miami-Dade,12086007503
112250,2497,12,086,007601,Miami-Dade,12086007601
35583,3601,12,086,007603,Miami-Dade,12086007603
77826,3225,12,086,007605,Miami-Dade,12086007605
94500,2124,12,086,007607,Miami-Dade,12086007607
118015,2239,12,086,007608,Miami-Dade,12086007608
69076,1557,12,086,007609,Miami-Dade,12086007609
99296,4745,12,086,007610,Miami-Dade,12086007610
67704,5734,12,086,007704,Miami-Dade,12086007704
59652,5120,12,086,007705,Miami-Dade,12086007705
140211,3065,12,086,007706,Miami-Dade,12086007706
146396,3364,12,086,007707,Miami-Dade,12086007707
70750,2460,12,086,007708,Miami-Dade,12086007708
133060,2821,12,086,007709,Miami-Dade,12086007709
250001,682,12,086,007801,Miami-Dade,12086007801
143088,4515,12,086,007805,Miami-Dade,12086007805
250001,3715,12,086,007806,Miami-Dade,12086007806
158984,5231,12,086,007807,Miami-Dade,12086007807
46847,4187,12,086,007808,Miami-Dade,12086007808
78648,3649,12,086,007809,Miami-Dade,12086007809
125306,3977,12,086,007901,Miami-Dade,12086007901
179083,2984,12,086,007902,Miami-Dade,12086007902
176778,4805,12,086,008000,Miami-Dade,12086008000
250001,3461,12,086,008101,Miami-Dade,12086008101
168409,4652,12,086,008102,Miami-Dade,12086008102
148125,4610,12,086,008202,Miami-Dade,12086008202
185559,4452,12,086,008205,Miami-Dade,12086008205
97016,3851,12,086,008206,Miami-Dade,12086008206
232188,4940,12,086,008207,Miami-Dade,12086008207
76419,4708,12,086,008208,Miami-Dade,12086008208
174130,4033,12,086,008209,Miami-Dade,12086008209
107692,5276,12,086,008305,Miami-Dade,12086008305
71405,5639,12,086,008308,Miami-Dade,12086008308
43510,4958,12,086,008309,Miami-Dade,12086008309
75353,4426,12,086,008310,Miami-Dade,12086008310
90417,4567,12,086,008311,Miami-Dade,12086008311
62945,3821,12,086,008312,Miami-Dade,12086008312
59246,5595,12,086,008313,Miami-Dade,12086008313
79698,2833,12,086,008314,Miami-Dade,12086008314
89688,4950,12,086,008315,Miami-Dade,12086008315
73750,5174,12,086,008409,Miami-Dade,12086008409
194643,4695,12,086,008415,Miami-Dade,12086008415
60903,3062,12,086,008416,Miami-Dade,12086008416
82097,2854,12,086,008418,Miami-Dade,12086008418
69023,5640,12,086,008419,Miami-Dade,12086008419
101472,1240,12,086,008420,Miami-Dade,12086008420
160599,4593,12,086,008421,Miami-Dade,12086008421
113281,2421,12,086,008422,Miami-Dade,12086008422
95286,5011,12,086,008423,Miami-Dade,12086008423
32246,3374,12,086,008424,Miami-Dade,12086008424
58393,2110,12,086,008425,Miami-Dade,12086008425
142108,3701,12,086,008426,Miami-Dade,12086008426
104554,1864,12,086,008427,Miami-Dade,12086008427
135278,2535,12,086,008428,Miami-Dade,12086008428
152407,4485,12,086,008429,Miami-Dade,12086008429
47631,5297,12,086,008430,Miami-Dade,12086008430
46250,2411,12,086,008431,Miami-Dade,12086008431
116250,4252,12,086,008502,Miami-Dade,12086008502
59750,3396,12,086,008503,Miami-Dade,12086008503
84817,2863,12,086,008504,Miami-Dade,12086008504
104183,4595,12,086,008601,Miami-Dade,12086008601
108958,4070,12,086,008603,Miami-Dade,12086008603
102447,1292,12,086,008604,Miami-Dade,12086008604
87750,5685,12,086,008702,Miami-Dade,12086008702
80417,2198,12,086,008703,Miami-Dade,12086008703
68854,2842,12,086,008704,Miami-Dade,12086008704
41532,3836,12,086,008805,Miami-Dade,12086008805
80364,4520,12,086,008806,Miami-Dade,12086008806
103133,4363,12,086,008807,Miami-Dade,12086008807
67781,3350,12,086,008808,Miami-Dade,12086008808
102382,2092,12,086,008809,Miami-Dade,12086008809
75109,4447,12,086,008810,Miami-Dade,12086008810
-666666666,3538,12,086,008904,Miami-Dade,12086008904
59615,4714,12,086,008906,Miami-Dade,12086008906
44065,4254,12,086,008907,Miami-Dade,12086008907
81581,3512,12,086,008908,Miami-Dade,12086008908
62330,3705,12,086,008909,Miami-Dade,12086008909
63368,3080,12,086,008910,Miami-Dade,12086008910
97906,3073,12,086,008911,Miami-Dade,12086008911
89028,7265,12,086,009010,Miami-Dade,12086009010
84464,4268,12,086,009014,Miami-Dade,12086009014
47553,5520,12,086,009015,Miami-Dade,12086009015
39635,3075,12,086,009020,Miami-Dade,12086009020
50823,4273,12,086,009021,Miami-Dade,12086009021
63107,2507,12,086,009022,Miami-Dade,12086009022
78800,5404,12,086,009024,Miami-Dade,12086009024
45900,2119,12,086,009026,Miami-Dade,12086009026
61713,3834,12,086,009027,Miami-Dade,12086009027
68893,5775,12,086,009028,Miami-Dade,12086009028
71413,4234,12,086,009029,Miami-Dade,12086009029
54075,4914,12,086,009030,Miami-Dade,12086009030
56450,4147,12,086,009031,Miami-Dade,12086009031
69911,7753,12,086,009039,Miami-Dade,12086009039
76957,7395,12,086,009040,Miami-Dade,12086009040
92188,5001,12,086,009043,Miami-Dade,12086009043
75208,3304,12,086,009044,Miami-Dade,12086009044
119597,3161,12,086,009048,Miami-Dade,12086009048
90123,4342,12,086,009049,Miami-Dade,12086009049
76913,5762,12,086,009050,Miami-Dade,12086009050
96400,1992,12,086,009051,Miami-Dade,12086009051
38048,3708,12,086,009052,Miami-Dade,12086009052
80287,4609,12,086,009053,Miami-Dade,12086009053
91364,1932,12,086,009054,Miami-Dade,12086009054
67344,2098,12,086,009055,Miami-Dade,12086009055
90724,2724,12,086,009056,Miami-Dade,12086009056
86667,6165,12,086,009057,Miami-Dade,12086009057
67674,3969,12,086,009058,Miami-Dade,12086009058
74511,2958,12,086,009059,Miami-Dade,12086009059
113846,4902,12,086,009060,Miami-Dade,12086009060
46250,3312,12,086,009061,Miami-Dade,12086009061
71541,3211,12,086,009062,Miami-Dade,12086009062
50046,2816,12,086,009063,Miami-Dade,12086009063
63347,2672,12,086,009064,Miami-Dade,12086009064
79278,3463,12,086,009065,Miami-Dade,12086009065
68562,6923,12,086,009066,Miami-Dade,12086009066
52703,3085,12,086,009101,Miami-Dade,12086009101
41714,3443,12,086,009102,Miami-Dade,12086009102
72241,3337,12,086,009200,Miami-Dade,12086009200
112578,5030,12,086,009305,Miami-Dade,12086009305
74556,5434,12,086,009312,Miami-Dade,12086009312
33059,3827,12,086,009314,Miami-Dade,12086009314
34478,3197,12,086,009315,Miami-Dade,12086009315
72647,2556,12,086,009316,Miami-Dade,12086009316
54796,4671,12,086,009317,Miami-Dade,12086009317
54183,1788,12,086,009318,Miami-Dade,12086009318
92843,4539,12,086,009319,Miami-Dade,12086009319
51913,4562,12,086,009320,Miami-Dade,12086009320
79394,2378,12,086,009321,Miami-Dade,12086009321
29232,4266,12,086,009322,Miami-Dade,12086009322
71250,2778,12,086,009323,Miami-Dade,12086009323
47148,4237,12,086,009324,Miami-Dade,12086009324
64931,2433,12,086,009325,Miami-Dade,12086009325
25189,3021,12,086,009326,Miami-Dade,12086009326
78192,3569,12,086,009327,Miami-Dade,12086009327
69313,2511,12,086,009401,Miami-Dade,12086009401
